VEHICLE_TYPE,RTO_REGION,REGISTRATIONS,YEAR,MONTH,,,,,
Light Goods Three Wheeler,Devanahalli,756,2020,OCTOBER,,,,,
Light Goods Three Wheeler,Chandapura,815,2020,OCTOBER,,,,,
Multi Axled Articulated Vehicle,BNG CENTRAL,10927,2020,NOVEMBER,,,,,
Multi Axled Articulated Vehicle,BNG WEST,304,2020,NOVEMBER,,,,,
Multi Axled Articulated Vehicle,BNG EAST,727,2020,NOVEMBER,,,,,
Multi Axled Articulated Vehicle,BNG NORTH,258,2020,NOVEMBER,,,,,
Multi Axled Articulated Vehicle,BNG SOUTH,662,2020,NOVEMBER,,,,,
Multi Axled Articulated Vehicle,KR Puram,589,2020,NOVEMBER,,,,,
Multi Axled Articulated Vehicle,Jnana Bharati,106,2020,NOVEMBER,,,,,
Multi Axled Articulated Vehicle,Electronic City,1009,2020,NOVEMBER,,,,,
Multi Axled Articulated Vehicle,Yelahanka,15,2020,NOVEMBER,,,,,
Multi Axled Articulated Vehicle,Devanahalli,57,2020,NOVEMBER,,,,,
Multi Axled Articulated Vehicle,Chandapura,457,2020,NOVEMBER,,,,,
Trucks and Lorries,BNG CENTRAL,56800,2020,NOVEMBER,,,,,
Trucks and Lorries,BNG WEST,16748,2020,NOVEMBER,,,,,
Trucks and Lorries,BNG EAST,10091,2020,NOVEMBER,,,,,
Trucks and Lorries,BNG NORTH,12370,2020,NOVEMBER,,,,,
Trucks and Lorries,BNG SOUTH,22856,2020,NOVEMBER,,,,,
Trucks and Lorries,KR Puram,10408,2020,NOVEMBER,,,,,
Trucks and Lorries,Jnana Bharati,6846,2020,NOVEMBER,,,,,
Trucks and Lorries,Electronic City,16986,2020,NOVEMBER,,,,,
Trucks and Lorries,Yelahanka,6118,2020,NOVEMBER,,,,,
Trucks and Lorries,Devanahalli,4116,2020,NOVEMBER,,,,,
Trucks and Lorries,Chandapura,8724,2020,NOVEMBER,,,,,
Light Goods Four Wheeler,BNG CENTRAL,18501,2020,NOVEMBER,,,,,
Light Goods Four Wheeler,BNG WEST,16026,2020,NOVEMBER,,,,,
Light Goods Four Wheeler,BNG EAST,9698,2020,NOVEMBER,,,,,
Light Goods Four Wheeler,BNG NORTH,16456,2020,NOVEMBER,,,,,
Light Goods Four Wheeler,BNG SOUTH,25266,2020,NOVEMBER,,,,,
Light Goods Four Wheeler,KR Puram,18203,2020,NOVEMBER,,,,,
Light Goods Four Wheeler,Jnana Bharati,12806,2020,NOVEMBER,,,,,
Light Goods Four Wheeler,Electronic City,24994,2020,NOVEMBER,,,,,
Light Goods Four Wheeler,Yelahanka,7089,2020,NOVEMBER,,,,,
Light Goods Four Wheeler,Devanahalli,5127,2020,NOVEMBER,,,,,
Light Goods Four Wheeler,Chandapura,15635,2020,NOVEMBER,,,,,
Light Goods Three Wheeler,BNG CENTRAL,9075,2020,NOVEMBER,,,,,
Light Goods Three Wheeler,BNG WEST,15535,2020,NOVEMBER,,,,,
Light Goods Three Wheeler,BNG EAST,6851,2020,NOVEMBER,,,,,
Light Goods Three Wheeler,BNG NORTH,6161,2020,NOVEMBER,,,,,
Light Goods Three Wheeler,BNG SOUTH,11378,2020,NOVEMBER,,,,,
Light Goods Three Wheeler,KR Puram,2181,2020,NOVEMBER,,,,,
Light Goods Three Wheeler,Jnana Bharati,4631,2020,NOVEMBER,,,,,
Light Goods Three Wheeler,Electronic City,3227,2020,NOVEMBER,,,,,
Light Goods Three Wheeler,Yelahanka,1127,2020,NOVEMBER,,,,,
Light Goods Three Wheeler,Devanahalli,763,2020,NOVEMBER,,,,,
Light Goods Three Wheeler,Chandapura,816,2020,NOVEMBER,,,,,
Multi Axled Articulated Vehicle,BNG CENTRAL,10927,2020,DECEMBER,,,,,
Multi Axled Articulated Vehicle,BNG WEST,304,2020,DECEMBER,,,,,
Multi Axled Articulated Vehicle,BNG EAST,727,2020,DECEMBER,,,,,
Multi Axled Articulated Vehicle,BNG NORTH,259,2020,DECEMBER,,,,,
Multi Axled Articulated Vehicle,BNG SOUTH,663,2020,DECEMBER,,,,,
Multi Axled Articulated Vehicle,KR Puram,590,2020,DECEMBER,,,,,
Multi Axled Articulated Vehicle,Jnana Bharati,107,2020,DECEMBER,,,,,
Multi Axled Articulated Vehicle,Electronic City,1009,2020,DECEMBER,,,,,
Multi Axled Articulated Vehicle,Yelahanka,16,2020,DECEMBER,,,,,
Multi Axled Articulated Vehicle,Devanahalli,59,2020,DECEMBER,,,,,
Multi Axled Articulated Vehicle,Chandapura,457,2020,DECEMBER,,,,,
Trucks and Lorries,BNG CENTRAL,56908,2020,DECEMBER,,,,,
Trucks and Lorries,BNG WEST,16768,2020,DECEMBER,,,,,
Trucks and Lorries,BNG EAST,10092,2020,DECEMBER,,,,,
Trucks and Lorries,BNG NORTH,12385,2020,DECEMBER,,,,,
Trucks and Lorries,BNG SOUTH,22867,2020,DECEMBER,,,,,
